,Communes,train_2023,bus_2023,train_2022,bus_2022,train_2021,bus_2021,train_2020,bus_2020,train_2019,bus_2019,train_2018,bus_2018,train_2017,bus_2017,train_2016,bus_2016,train_2015,bus_2015,train_2014,bus_2014,train_2013,bus_2013
1,Baden,319,11541,319,11543,319,11563,319,11563,319,11541,319,11593,307,11664,320,11755,319,11711,308,11878,307,10981
2,Bellikon,0,378,0,376,0,376,0,378,0,374,0,374,0,348,0,348,0,348,0,348,0,348
3,Bergdietikon,0,59,0,55,0,55,0,55,0,55,0,58,0,54,0,58,0,58,0,54,0,54
4,Birmenstorf (AG),0,794,0,794,0,794,0,794,0,784,0,784,0,731,0,739,0,784,0,730,0,725
5,Ehrendingen,0,864,0,864,0,864,0,864,0,864,0,864,0,966,0,864,0,864,0,958,0,958
6,Ennetbaden,0,1441,0,1441,0,1441,0,1441,0,1441,0,1441,0,1444,0,1284,0,1284,0,1438,0,1494
7,Fislisbach,0,1500,0,1500,0,1492,0,1492,0,1476,0,1476,0,1440,0,1444,0,1444,0,1355,0,1356
8,Freienwil,0,62,0,62,0,62,0,62,0,62,0,62,0,51,0,62,0,62,0,51,0,220
9,Gebenstorf,0,1228,0,1088,0,1088,0,1088,0,1080,0,1080,0,960,0,968,0,968,0,959,0,945
10,Killwangen,99,671,99,671,99,671,99,671,97,667,97,667,84,688,84,689,84,689,84,687,84,687
11,Kuenten,0,228,0,228,0,228,0,228,0,224,0,224,0,262,0,224,0,224,0,262,0,262
12,Maegenwil,50,353,50,350,50,347,42,347,40,341,40,341,34,303,36,302,38,302,34,303,34,306
13,Mellingen,43,1131,43,1067,43,1067,43,1066,41,1023,41,1024,34,985,36,1004,37,1004,34,980,34,979
14,Neuenhof,56,1654,56,1626,56,1626,56,1626,56,1626,56,1626,56,1626,56,1626,56,1626,56,1624,56,1624
15,Niederrohrdorf,0,1233,0,1233,0,1232,0,1233,0,1209,0,1211,0,1133,0,1141,0,1141,0,1127,0,1126
16,Oberrohrdorf,0,728,0,621,0,618,0,724,0,710,0,714,0,657,0,671,0,671,0,656,0,506
17,Obersiggenthal,0,1657,0,1657,0,1657,0,1656,0,1654,0,1654,0,1652,0,1654,0,1654,0,1652,0,1596
18,Remetschwil,0,194,0,194,0,193,0,193,0,191,0,191,0,179,0,178,0,178,0,183,0,182
19,Spreitenbach,99,2908,99,2410,99,2407,99,2410,97,2633,97,2521,84,2722,84,2728,84,2729,84,2721,84,2721
20,Stetten (AG),0,249,0,249,0,247,0,249,0,243,0,243,0,297,0,302,0,302,0,297,0,297
21,Turgi,237,413,237,413,237,413,237,413,237,413,236,413,225,420,232,420,232,420,225,420,225,420
22,Untersiggenthal,0,1049,0,1049,0,1049,0,969,0,969,0,969,0,984,0,984,0,987,0,982,0,982
23,Wettingen,154,3947,154,3947,154,3947,154,3947,154,3921,154,3913,147,3983,153,3999,154,3999,147,3977,147,3948
24,Wohlenschwil,0,112,0,110,0,108,0,108,0,108,0,108,0,108,0,108,0,108,0,108,0,110
25,Wuerenlingen,68,285,68,285,68,285,68,285,68,285,68,285,60,252,68,260,68,263,60,210,60,180
26,Wuerenlos,56,1206,56,1206,56,1206,56,1206,56,1170,56,1170,56,1246,56,1170,56,1170,56,1246,56,1246
